comparison,behav_var,image_var,rho,p
MWMtime_cingulate_24bR,swimtime_t2,localeff_weight,0.499417987379814,0.00120902231233593
MWMtime_cingulate_24bR,swimtime_t1,eigenvectorcent_weight,0.404476455690909,0.0106508820454838
MWMtime_cingulate_24bR,swimtime_t2,eigenvectorcent_weight,0.323279352226721,0.0447008374624768
MWMtime_cingulate_24bR,swimtime_t3,pagerankcent_weight,-0.345951417004049,0.0309838089847525
MWMtime_cingulate_25R,swimtime_t6,clustercoeff_bin,-0.329757085020243,0.0403577255656601
MWMtime_cingulate_25R,swimtime_t6,localeff_bin,-0.329757085020243,0.0403577255656601
MWMtime_cingulate_25R,swimtime_t6,eigenvectorcent_bin,0.380971659919028,0.0167214513920084
MWMtime_cingulate_25R,swimtime_t6,pagerankcent_bin,0.324291497975708,0.0439983491043904
MWMtime_cingulate_29aL,swimtime_t3,eigenvectorcent_weight,0.412348178137652,0.00909295530708154
MWMtime_cingulate_29aR,swimtime_t6,betweencent_weight,0.328137651821862,0.0414099342564358
MWMtime_cingulate_29bR,swimtime_t1,betweencent_weight,-0.321222819799767,0.0461561263359658
MWMtime_cingulate_29cL,swimtime_t3,pagerankcent_bin,0.338056680161943,0.0353009229798814
MWMtime_cingulate_29cR,swimtime_t2,strength_weight,0.330566801619433,0.0398398299850662
MWMtime_cingulate_29cR,swimtime_t3,eigenvectorcent_bin,0.432186234817814,0.00600362051028204
MWMtime_cingulate_29cR,swimtime_t6,eigenvectorcent_weight,-0.330161943319838,0.0400980979384544
MWMtime_cingulate_29cR,swimtime_t3,pagerankcent_bin,0.467611336032389,0.0026856760984547
MWMtime_cingulate_30L,swimtime_t6,clustercoeff_bin,-0.317611336032389,0.0488041563938306
MWMtime_cingulate_30L,swimtime_t6,localeff_bin,-0.317611336032389,0.0488041563938306
MWMtime_cingulate_30L,swimtime_t3,eigenvectorcent_weight,0.328542510121457,0.0411448171960035
MWMtime_cingulate_30L,swimtime_t3,pagerankcent_weight,0.317611336032389,0.0488041563938306
MWMtime_cingulate_30R,swimtime_t6,betweencent_bin,0.322672064777328,0.0451266652819236
MWMtime_cingulate_30R,swimtime_t5,eigenvectorcent_bin,0.331781376518219,0.0390731335928348
MWMtime_cingulate_30R,swimtime_t3,eigenvectorcent_weight,0.349392712550607,0.0292430543240483
MWMtime_cingulate_32L,swimtime_t6,clustercoeff_bin,-0.355668016194332,0.0262764542054691
MWMtime_cingulate_32L,swimtime_t6,localeff_bin,-0.355668016194332,0.0262764542054691
MWMtime_cingulate_32L,swimtime_t1,eigenvectorcent_weight,0.330168265414444,0.0400940544991087
MWMtime_cingulate_32R,swimtime_t6,clustercoeff_bin,-0.316396761133603,0.0497216977305254
MWMtime_cingulate_32R,swimtime_t6,localeff_bin,-0.316396761133603,0.0497216977305254
MWMtime_entorhinalL_caudomedial,swimtime_t2,degree_bin,0.376508292114824,0.0181538447636852
MWMtime_entorhinalL_caudomedial,swimtime_t6,clustercoeff_bin,-0.324696356275304,0.0437198673482715
